"PT.BALINA AGUNG PERKASA",Umum,339-2205069886A005,25-03-2022,01-04-2022,1.831.500,0,"Belum Lunas"
"PT.BALINA AGUNG PERKASA",Umum,339-220514147A007,29-04-2022,13-05-2022,1.779.000,0,"Belum Lunas"
"PT.BALINA AGUNG PERKASA",Umum,11052022,11-05-2022,18-05-2022,264.600,0,"Belum Lunas"
,,,,,3.875.100,0,
